total_bill,Tip percent,day,time,size
16.99,0.059446733,Sun,Dinner,2
10.34,0.160541586,Sun,Dinner,3
21.01,0.166587339,Sun,Dinner,3
23.68,0.139780405,Sun,Dinner,2
24.59,0.146807645,Sun,Dinner,4
25.29,0.18623962,Sun,Dinner,4
8.77,0.228050171,Sun,Dinner,2
26.88,0.116071429,Sun,Dinner,4
15.04,0.130319149,Sun,Dinner,2
14.78,0.218538566,Sun,Dinner,2
10.27,0.166504382,Sun,Dinner,2
35.26,0.141803744,Sun,Dinner,4
15.42,0.101815824,Sun,Dinner,2
18.43,0.162778079,Sun,Dinner,4
14.83,0.203641268,Sun,Dinner,2
21.58,0.181649676,Sun,Dinner,2
10.33,0.161665053,Sun,Dinner,3
16.29,0.227747084,Sun,Dinner,3
16.97,0.206246317,Sun,Dinner,3
20.65,0.162227603,Sat,Dinner,3
17.92,0.227678571,Sat,Dinner,2
20.29,0.135534746,Sat,Dinner,2
15.77,0.141407736,Sat,Dinner,2
39.42,0.192288179,Sat,Dinner,4
19.82,0.160443996,Sat,Dinner,2
17.81,0.131386861,Sat,Dinner,4
13.37,0.149588631,Sat,Dinner,2
12.69,0.157604413,Sat,Dinner,2
21.7,0.198156682,Sat,Dinner,2
19.65,0.152671756,Sat,Dinner,2
9.55,0.151832461,Sat,Dinner,2
18.35,0.136239782,Sat,Dinner,4
15.06,0.199203187,Sat,Dinner,2
20.69,0.118414693,Sat,Dinner,4
17.78,0.183914511,Sat,Dinner,2
24.06,0.149625935,Sat,Dinner,3
16.31,0.122624157,Sat,Dinner,3
16.93,0.181334908,Sat,Dinner,3
18.69,0.123595506,Sat,Dinner,3
31.27,0.159897665,Sat,Dinner,3
16.04,0.139650873,Sat,Dinner,3
17.46,0.145475372,Sun,Dinner,2
13.94,0.219512195,Sun,Dinner,2
9.68,0.136363636,Sun,Dinner,2
30.4,0.184210526,Sun,Dinner,4
18.29,0.164024057,Sun,Dinner,2
22.23,0.224921278,Sun,Dinner,2
32.4,0.185185185,Sun,Dinner,4
28.55,0.071803853,Sun,Dinner,3
18.04,0.166297118,Sun,Dinner,2
12.54,0.199362041,Sun,Dinner,2
10.29,0.252672498,Sun,Dinner,2
34.81,0.149382361,Sun,Dinner,4
9.94,0.15694165,Sun,Dinner,2
25.56,0.169796557,Sun,Dinner,4
19.49,0.180092355,Sun,Dinner,2
38.01,0.078926598,Sat,Dinner,4
26.41,0.056796668,Sat,Dinner,2
11.24,0.15658363,Sat,Dinner,2
48.27,0.139424073,Sat,Dinner,4
20.29,0.158206013,Sat,Dinner,2
13.81,0.144822592,Sat,Dinner,2
11.02,0.179673321,Sat,Dinner,2
18.29,0.205576818,Sat,Dinner,4
17.59,0.150085276,Sat,Dinner,3
20.08,0.15687251,Sat,Dinner,3
16.45,0.150151976,Sat,Dinner,2
3.07,0.325732899,Sat,Dinner,1
20.23,0.09935739,Sat,Dinner,2
15.01,0.139240506,Sat,Dinner,2
12.02,0.163893511,Sat,Dinner,2
17.07,0.175746924,Sat,Dinner,3
26.86,0.116902457,Sat,Dinner,2
25.28,0.19778481,Sat,Dinner,2
14.73,0.149355058,Sat,Dinner,2
10.51,0.118934348,Sat,Dinner,2
17.92,0.171875,Sat,Dinner,2
27.2,0.147058824,Thur,Lunch,4
22.76,0.131810193,Thur,Lunch,2
17.29,0.156737999,Thur,Lunch,2
19.44,0.154320988,Thur,Lunch,2
16.66,0.204081633,Thur,Lunch,2
10.07,0.181727905,Thur,Lunch,1
32.68,0.152998776,Thur,Lunch,2
15.98,0.127033792,Thur,Lunch,2
34.83,0.148435257,Thur,Lunch,4
13.03,0.153491942,Thur,Lunch,2
18.28,0.218818381,Thur,Lunch,2
24.71,0.236746257,Thur,Lunch,2
21.16,0.141776938,Thur,Lunch,2
28.97,0.103555402,Fri,Dinner,2
22.49,0.155624722,Fri,Dinner,2
5.75,0.173913043,Fri,Dinner,2
16.32,0.263480392,Fri,Dinner,2
22.75,0.142857143,Fri,Dinner,2
40.17,0.117749564,Fri,Dinner,4
27.28,0.146627566,Fri,Dinner,2
12.03,0.124688279,Fri,Dinner,2
21.01,0.142789148,Fri,Dinner,2
12.46,0.120385233,Fri,Dinner,2
11.35,0.220264317,Fri,Dinner,2
15.38,0.195058518,Fri,Dinner,2
44.3,0.056433409,Sat,Dinner,3
22.42,0.155218555,Sat,Dinner,2
20.92,0.195028681,Sat,Dinner,2
15.36,0.106770833,Sat,Dinner,2
20.49,0.198145437,Sat,Dinner,2
25.21,0.170170567,Sat,Dinner,2
18.24,0.206140351,Sat,Dinner,2
14.31,0.279524808,Sat,Dinner,2
14,0.214285714,Sat,Dinner,2
7.25,0.137931034,Sat,Dinner,1
38.07,0.105069609,Sun,Dinner,3
23.95,0.106471816,Sun,Dinner,2
25.71,0.155581486,Sun,Dinner,3
17.31,0.202195263,Sun,Dinner,2
29.93,0.169395256,Sun,Dinner,4
10.65,0.14084507,Thur,Lunch,2
12.43,0.144810941,Thur,Lunch,2
24.08,0.121262458,Thur,Lunch,4
11.69,0.19760479,Thur,Lunch,2
13.42,0.125186289,Thur,Lunch,2
14.26,0.175315568,Thur,Lunch,2
15.95,0.12539185,Thur,Lunch,2
12.48,0.201923077,Thur,Lunch,2
29.8,0.140939597,Thur,Lunch,6
8.52,0.17370892,Thur,Lunch,2
14.52,0.137741047,Thur,Lunch,2
11.38,0.175746924,Thur,Lunch,2
22.82,0.095530237,Thur,Lunch,3
19.08,0.078616352,Thur,Lunch,2
20.27,0.139615195,Thur,Lunch,2
11.17,0.134288272,Thur,Lunch,2
12.26,0.163132137,Thur,Lunch,2
18.26,0.177984666,Thur,Lunch,2
8.51,0.146886016,Thur,Lunch,2
10.33,0.193610842,Thur,Lunch,2
14.15,0.141342756,Thur,Lunch,2
16,0.125,Thur,Lunch,2
13.16,0.208966565,Thur,Lunch,2
17.47,0.200343446,Thur,Lunch,2
34.3,0.195335277,Thur,Lunch,6
41.19,0.121388687,Thur,Lunch,5
27.05,0.184842884,Thur,Lunch,6
16.43,0.139987827,Thur,Lunch,2
8.35,0.179640719,Thur,Lunch,2
18.64,0.072961373,Thur,Lunch,3
11.87,0.137320977,Thur,Lunch,2
9.78,0.176891616,Thur,Lunch,2
7.51,0.266311585,Thur,Lunch,2
14.07,0.177683014,Sun,Dinner,2
13.13,0.152322925,Sun,Dinner,2
17.26,0.158748552,Sun,Dinner,3
24.55,0.081466395,Sun,Dinner,4
19.77,0.101163379,Sun,Dinner,4
29.85,0.172194305,Sun,Dinner,5
48.17,0.103799045,Sun,Dinner,6
25,0.15,Sun,Dinner,4
13.39,0.194921583,Sun,Dinner,2
16.49,0.121285628,Sun,Dinner,4
21.5,0.162790698,Sun,Dinner,4
12.66,0.197472354,Sun,Dinner,2
16.21,0.123380629,Sun,Dinner,3
13.81,0.144822592,Sun,Dinner,2
17.51,0.171330668,Sun,Dinner,2
24.52,0.141924959,Sun,Dinner,3
20.76,0.107899807,Sun,Dinner,2
31.71,0.141911069,Sun,Dinner,4
10.59,0.152030217,Sat,Dinner,2
10.63,0.188146754,Sat,Dinner,2
50.81,0.196811651,Sat,Dinner,3
15.81,0.199873498,Sat,Dinner,2
7.25,0.710344828,Sun,Dinner,2
31.85,0.099843014,Sun,Dinner,2
16.82,0.237812128,Sun,Dinner,2
32.9,0.094528875,Sun,Dinner,2
17.89,0.111794298,Sun,Dinner,2
14.48,0.138121547,Sun,Dinner,2
9.6,0.416666667,Sun,Dinner,2
34.63,0.102512273,Sun,Dinner,2
34.65,0.106204906,Sun,Dinner,4
23.33,0.242177454,Sun,Dinner,2
45.35,0.077177508,Sun,Dinner,3
23.17,0.280535175,Sun,Dinner,4
40.55,0.073982737,Sun,Dinner,2
20.69,0.241662639,Sun,Dinner,5
20.9,0.167464115,Sun,Dinner,3
30.46,0.065659882,Sun,Dinner,5
18.15,0.192837466,Sun,Dinner,3
23.1,0.173160173,Sun,Dinner,3
15.69,0.095602294,Sun,Dinner,2
19.81,0.211509339,Thur,Lunch,2
28.44,0.090014065,Thur,Lunch,2
15.48,0.130490956,Thur,Lunch,2
16.58,0.241254524,Thur,Lunch,2
7.56,0.19047619,Thur,Lunch,2
10.34,0.193423598,Thur,Lunch,2
43.11,0.115982371,Thur,Lunch,4
13,0.153846154,Thur,Lunch,2
13.51,0.14803849,Thur,Lunch,2
18.71,0.213789417,Thur,Lunch,3
12.74,0.157770801,Thur,Lunch,2
13,0.153846154,Thur,Lunch,2
16.4,0.152439024,Thur,Lunch,2
20.53,0.194836824,Thur,Lunch,4
16.47,0.196114147,Thur,Lunch,3
26.59,0.128243701,Sat,Dinner,3
38.73,0.077459334,Sat,Dinner,4
24.27,0.083642357,Sat,Dinner,2
12.76,0.17476489,Sat,Dinner,2
30.06,0.066533599,Sat,Dinner,3
25.89,0.199304751,Sat,Dinner,4
48.33,0.186219739,Sat,Dinner,4
13.27,0.188394876,Sat,Dinner,2
28.17,0.230741924,Sat,Dinner,3
12.9,0.085271318,Sat,Dinner,2
28.15,0.106571936,Sat,Dinner,5
11.59,0.129421915,Sat,Dinner,2
7.74,0.186046512,Sat,Dinner,2
30.14,0.102521566,Sat,Dinner,4
12.16,0.180921053,Fri,Lunch,2
13.42,0.259314456,Fri,Lunch,2
8.58,0.223776224,Fri,Lunch,1
15.98,0.187734668,Fri,Lunch,3
13.42,0.117734724,Fri,Lunch,2
16.27,0.153657037,Fri,Lunch,2
10.09,0.198216056,Fri,Lunch,2
20.45,0.146699267,Sat,Dinner,4
13.28,0.204819277,Sat,Dinner,2
22.12,0.130198915,Sat,Dinner,2
24.01,0.083298626,Sat,Dinner,4
15.69,0.191204589,Sat,Dinner,3
11.61,0.291989664,Sat,Dinner,2
10.77,0.136490251,Sat,Dinner,2
15.53,0.193174501,Sat,Dinner,2
10.07,0.124131082,Sat,Dinner,2
12.6,0.079365079,Sat,Dinner,2
32.83,0.035638136,Sat,Dinner,2
35.83,0.130337706,Sat,Dinner,3
29.03,0.203926972,Sat,Dinner,3
27.18,0.073583517,Sat,Dinner,2
22.67,0.08822232,Sat,Dinner,2
17.82,0.098204265,Sat,Dinner,2
18.78,0.159744409,Thur,Dinner,2
